country,year,region,PIP: Gini – all observations,WID: Top 1pc share – pretax – all observations,PIP: Gini – only matching observations,WID: Top 1pc share – pretax – only matching observations
Switzerland,1992,W. Europe,33.85640810532497,,33.85640810532497,
Switzerland,1993,W. Europe,,9.73,,9.73
Switzerland,2015,W. Europe,32.30695715732445,11.54,32.30695715732445,11.54
Taiwan,1991,East Asia,29.96780212180384,,29.96780212180384,
Taiwan,1993,East Asia,,10.78,,10.78
Taiwan,2015,East Asia,,18.33,,18.33
Taiwan,2016,East Asia,31.48271564455893,,31.48271564455893,
Tanzania,1991,SS Africa,35.29222222530266,11.55,35.29222222530266,11.55
Tanzania,2014,SS Africa,,17.28,,17.28
Tanzania,2018,SS Africa,40.4912299517734,,40.4912299517734,
Thailand,1992,S & SE Asia,47.8579578494911,,47.8579578494911,
Thailand,1993,S & SE Asia,,23.73,,23.73
Thailand,2015,S & SE Asia,35.98733274727441,19.19,35.98733274727441,19.19
Tunisia,1995,MENA,41.65729666718795,17.0,41.65729666718795,17.0
Tunisia,2015,MENA,32.81588249697604,10.91,32.81588249697604,10.91
Turkey,1993,MENA,,22.32,,22.32
Turkey,1994,MENA,41.31520239019123,,41.31520239019123,
Turkey,2015,MENA,42.85445765747807,20.91,42.85445765747807,20.91
Uganda,1992,SS Africa,41.42936038819265,,41.42936038819265,
Uganda,1996,SS Africa,,15.35,,15.35
Uganda,2016,SS Africa,42.75369263085522,17.05,42.75369263085522,17.05
Ukraine,1993,EE & CA,28.92698360212953,14.09,28.92698360212953,14.09
Ukraine,2015,EE & CA,25.45754032542647,9.22,25.45754032542647,9.22
United Kingdom,1993,W. Europe,,9.72,,9.72
United Kingdom,1994,W. Europe,35.97892288742413,,35.97892288742413,
United Kingdom,2015,W. Europe,33.23508077715679,12.3,33.23508077715679,12.3
United States,1993,W. Offshoots,40.36454272110815,14.14,40.36454272110815,14.14
United States,2015,W. Offshoots,41.23877761737015,18.89,41.23877761737015,18.89
Uruguay,1992,LAC,41.46813710781241,,,
Uruguay,2015,LAC,40.12876988874804,,,
Vietnam,1992,S & SE Asia,35.65455877333817,16.42,35.65455877333817,16.42
Vietnam,2016,S & SE Asia,35.2667388835896,16.509999999999998,35.2667388835896,16.509999999999998
Zambia,1993,SS Africa,52.60861190802784,19.54,52.60861190802784,19.54
Zambia,2015,SS Africa,57.13605842336405,23.17,57.13605842336405,23.17
Zimbabwe,1991,SS Africa,,17.41,,
Zimbabwe,2017,SS Africa,,17.48,,
